dispositif,nombre_beneficiaires,montant_total,reg,libelle_region,code_section,libelle_section
Aide CPSTI,75.00,40314.00,94,Corse,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,722.00,399679.00,94,Corse,S,Autres activités de services
Aide CPSTI,252.00,269070.00,94,Corse,Z,Non connu
Aide CPSTI,417.00,363527.00,44,Grand Est,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,7051.00,6056215.00,44,Grand Est,C,Industrie manufacturière
Aide CPSTI,62.00,54880.00,44,Grand Est,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,336.00,201499.00,44,Grand Est,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,15301.00,14472648.00,44,Grand Est,F,Construction
Aide CPSTI,17171.00,13765176.00,44,Grand Est,G,Commerce
Aide CPSTI,2241.00,2178703.00,44,Grand Est,H,Transports et entreposage
Aide CPSTI,6648.00,5851593.00,44,Grand Est,I,Hébergement et restauration
Aide CPSTI,952.00,667800.00,44,Grand Est,J,Information et communication
Aide CPSTI,750.00,760406.00,44,Grand Est,K,Activités financières et d'assurance
Aide CPSTI,2292.00,2252215.00,44,Grand Est,L,Activités immobilières
Aide CPSTI,2296.00,1718359.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,2612.00,1766586.00,44,Grand Est,N,Activités de services administratifs et de soutien
Aide CPSTI,646.00,585886.00,44,Grand Est,P,Enseignement
Aide CPSTI,849.00,648145.00,44,Grand Est,Q,Santé humaine et action sociale
Aide CPSTI,1136.00,574559.00,44,Grand Est,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,9693.00,6833544.00,44,Grand Est,S,Autres activités de services
Aide CPSTI,3986.00,4247588.00,44,Grand Est,Z,Non connu
Aide CPSTI,21.00,19835.00,01,Guadeloupe,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,373.00,245945.00,01,Guadeloupe,C,Industrie manufacturière
Aide CPSTI,4.00,3130.00,01,Guadeloupe,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,6.00,6057.00,01,Guadeloupe,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,662.00,472061.00,01,Guadeloupe,F,Construction
Aide CPSTI,833.00,607940.00,01,Guadeloupe,G,Commerce
Aide CPSTI,221.00,170064.00,01,Guadeloupe,H,Transports et entreposage
Aide CPSTI,342.00,228221.00,01,Guadeloupe,I,Hébergement et restauration
Aide CPSTI,82.00,50722.00,01,Guadeloupe,J,Information et communication
Aide CPSTI,31.00,27818.00,01,Guadeloupe,K,Activités financières et d'assurance
Aide CPSTI,104.00,89765.00,01,Guadeloupe,L,Activités immobilières
Aide CPSTI,157.00,102492.00,01,Guadeloupe,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,301.00,190936.00,01,Guadeloupe,N,Activités de services administratifs et de soutien
Aide CPSTI,51.00,17858.00,01,Guadeloupe,P,Enseignement
Aide CPSTI,30.00,20524.00,01,Guadeloupe,Q,Santé humaine et action sociale
Aide CPSTI,50.00,24231.00,01,Guadeloupe,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,294.00,170270.00,01,Guadeloupe,S,Autres activités de services
Aide CPSTI,151.00,143377.00,01,Guadeloupe,Z,Non connu
Aide CPSTI,7.00,5191.00,03,Guyane,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,3.00,1799.00,03,Guyane,B,Industries extractives
Aide CPSTI,133.00,91675.00,03,Guyane,C,Industrie manufacturière
Aide CPSTI,4.00,3324.00,03,Guyane,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,200.00,168459.00,03,Guyane,F,Construction
Aide CPSTI,290.00,263547.00,03,Guyane,G,Commerce
Aide CPSTI,84.00,70521.00,03,Guyane,H,Transports et entreposage
