dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,378.00,38642022.00,01,Guadeloupe,M,"Activités spécialisées, scientifiques et techniques",2021-07-23
Prêts garantis par l'Etat,357.00,44290251.00,01,Guadeloupe,N,Activités de services administratifs et de soutien,2021-07-23
Prêts garantis par l'Etat,80.00,5150096.00,01,Guadeloupe,P,Enseignement,2021-07-23
Prêts garantis par l'Etat,274.00,22248297.00,01,Guadeloupe,Q,Santé humaine et action sociale,2021-07-23
Prêts garantis par l'Etat,71.00,4647440.00,01,Guadeloupe,R,"Arts, spectacles et activités récréatives",2021-07-23
Prêts garantis par l'Etat,148.00,6991611.00,01,Guadeloupe,S,Autres activités de services,2021-07-23
Prêts garantis par l'Etat,6.00,3435000.00,01,Guadeloupe,Z,Non connu,2021-07-23
Prêts garantis par l'Etat,35.00,2443045.00,03,Guyane,A,"Agriculture, sylviculture et pêche",2021-07-23
Prêts garantis par l'Etat,5.00,1909000.00,03,Guyane,B,Industries extractives,2021-07-23
Prêts garantis par l'Etat,106.00,20073552.00,03,Guyane,C,Industrie manufacturière,2021-07-23
Prêts garantis par l'Etat,4.00,375000.00,03,Guyane,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-07-23
Prêts garantis par l'Etat,170.00,27880857.00,03,Guyane,F,Construction,2021-07-23
Prêts garantis par l'Etat,254.00,58040811.00,03,Guyane,G,Commerce,2021-07-23
Prêts garantis par l'Etat,70.00,24320137.00,03,Guyane,H,Transports et entreposage,2021-07-23
Prêts garantis par l'Etat,97.00,10215770.00,03,Guyane,I,Hébergement et restauration,2021-07-23
Prêts garantis par l'Etat,21.00,1977280.00,03,Guyane,J,Information et communication,2021-07-23
Prêts garantis par l'Etat,16.00,10258900.00,03,Guyane,K,Activités financières et d'assurance,2021-07-23
Prêts garantis par l'Etat,11.00,1454849.00,03,Guyane,L,Activités immobilières,2021-07-23
Prêts garantis par l'Etat,102.00,9200718.00,03,Guyane,M,"Activités spécialisées, scientifiques et techniques",2021-07-23
Prêts garantis par l'Etat,78.00,13122048.00,03,Guyane,N,Activités de services administratifs et de soutien,2021-07-23
Prêts garantis par l'Etat,24.00,2279400.00,03,Guyane,P,Enseignement,2021-07-23
Prêts garantis par l'Etat,83.00,7302698.00,03,Guyane,Q,Santé humaine et action sociale,2021-07-23
