dispositif,nombre_pge,montant_total,reg,libelle_region,dep,libelle_departement,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,571.00,187864264.00,84,Auvergne-Rhône-Alpes,26,Drôme,C,Industrie manufacturière,2021-02-19
Prêts garantis par l'Etat,4.00,126000.00,84,Auvergne-Rhône-Alpes,26,Drôme,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-02-19
Prêts garantis par l'Etat,13.00,7042900.00,84,Auvergne-Rhône-Alpes,26,Drôme,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-02-19
Prêts garantis par l'Etat,870.00,136259152.00,84,Auvergne-Rhône-Alpes,26,Drôme,F,Construction,2021-02-19
Prêts garantis par l'Etat,1488.00,214208120.00,84,Auvergne-Rhône-Alpes,26,Drôme,G,Commerce,2021-02-19
Prêts garantis par l'Etat,137.00,35739054.00,84,Auvergne-Rhône-Alpes,26,Drôme,H,Transports et entreposage,2021-02-19
Prêts garantis par l'Etat,891.00,59647777.00,84,Auvergne-Rhône-Alpes,26,Drôme,I,Hébergement et restauration,2021-02-19
Prêts garantis par l'Etat,86.00,12578165.00,84,Auvergne-Rhône-Alpes,26,Drôme,J,Information et communication,2021-02-19
Prêts garantis par l'Etat,82.00,90732278.00,84,Auvergne-Rhône-Alpes,26,Drôme,K,Activités financières et d'assurance,2021-02-19
Prêts garantis par l'Etat,114.00,6917431.00,84,Auvergne-Rhône-Alpes,26,Drôme,L,Activités immobilières,2021-02-19
Prêts garantis par l'Etat,432.00,39634517.00,84,Auvergne-Rhône-Alpes,26,Drôme,M,"Activités spécialisées, scientifiques et techniques",2021-02-19
Prêts garantis par l'Etat,171.00,10662429.00,84,Auvergne-Rhône-Alpes,26,Drôme,N,Activités de services administratifs et de soutien,2021-02-19
Prêts garantis par l'Etat,119.00,4937841.00,84,Auvergne-Rhône-Alpes,26,Drôme,P,Enseignement,2021-02-19
Prêts garantis par l'Etat,377.00,17837919.00,84,Auvergne-Rhône-Alpes,26,Drôme,Q,Santé humaine et action sociale,2021-02-19
Prêts garantis par l'Etat,114.00,7304624.00,84,Auvergne-Rhône-Alpes,26,Drôme,R,"Arts, spectacles et activités récréatives",2021-02-19
Prêts garantis par l'Etat,352.00,11298493.00,84,Auvergne-Rhône-Alpes,26,Drôme,S,Autres activités de services,2021-02-19
Prêts garantis par l'Etat,6.00,476000.00,84,Auvergne-Rhône-Alpes,26,Drôme,Z,Non connu,2021-02-19
Prêts garantis par l'Etat,79.00,3212922.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,A,"Agriculture, sylviculture et pêche",2021-02-19
Prêts garantis par l'Etat,276.00,57699503.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,C,Industrie manufacturière,2021-02-19
Prêts garantis par l'Etat,13.00,3796013.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-02-19
Prêts garantis par l'Etat,338.00,30727589.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,F,Construction,2021-02-19
Prêts garantis par l'Etat,580.00,77464963.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,G,Commerce,2021-02-19
Prêts garantis par l'Etat,42.00,3803765.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,H,Transports et entreposage,2021-02-19
Prêts garantis par l'Etat,339.00,28279589.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,I,Hébergement et restauration,2021-02-19
Prêts garantis par l'Etat,20.00,2190166.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,J,Information et communication,2021-02-19
Prêts garantis par l'Etat,25.00,144393474.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,K,Activités financières et d'assurance,2021-02-19
Prêts garantis par l'Etat,23.00,1711892.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,L,Activités immobilières,2021-02-19
Prêts garantis par l'Etat,99.00,7430550.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,M,"Activités spécialisées, scientifiques et techniques",2021-02-19
Prêts garantis par l'Etat,52.00,3307206.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,N,Activités de services administratifs et de soutien,2021-02-19
Prêts garantis par l'Etat,34.00,804799.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,P,Enseignement,2021-02-19
Prêts garantis par l'Etat,102.00,5651555.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,Q,Santé humaine et action sociale,2021-02-19
