dispositif,nombre_beneficiaires,montant_total,reg,libelle_region,code_section,libelle_section
Aide CPSTI,307.00,190936.00,01,Guadeloupe,N,Activités de services administratifs et de soutien
Aide CPSTI,53.00,17858.00,01,Guadeloupe,P,Enseignement
Aide CPSTI,31.00,20524.00,01,Guadeloupe,Q,Santé humaine et action sociale
Aide CPSTI,52.00,24231.00,01,Guadeloupe,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,304.00,170270.00,01,Guadeloupe,S,Autres activités de services
Aide CPSTI,154.00,143377.00,01,Guadeloupe,Z,Non connu
Aide CPSTI,7.00,5191.00,03,Guyane,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,3.00,1799.00,03,Guyane,B,Industries extractives
Aide CPSTI,135.00,91675.00,03,Guyane,C,Industrie manufacturière
Aide CPSTI,4.00,3324.00,03,Guyane,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,204.00,168459.00,03,Guyane,F,Construction
Aide CPSTI,294.00,263547.00,03,Guyane,G,Commerce
Aide CPSTI,87.00,70521.00,03,Guyane,H,Transports et entreposage
Aide CPSTI,118.00,96310.00,03,Guyane,I,Hébergement et restauration
Aide CPSTI,16.00,11912.00,03,Guyane,J,Information et communication
Aide CPSTI,10.00,10749.00,03,Guyane,K,Activités financières et d'assurance
Aide CPSTI,16.00,14407.00,03,Guyane,L,Activités immobilières
Aide CPSTI,38.00,21141.00,03,Guyane,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,81.00,53407.00,03,Guyane,N,Activités de services administratifs et de soutien
Aide CPSTI,21.00,13536.00,03,Guyane,P,Enseignement
Aide CPSTI,16.00,12412.00,03,Guyane,Q,Santé humaine et action sociale
Aide CPSTI,10.00,3498.00,03,Guyane,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,71.00,45413.00,03,Guyane,S,Autres activités de services
Aide CPSTI,35.00,34190.00,03,Guyane,Z,Non connu
Aide CPSTI,327.00,288410.00,32,Hauts-de-France,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,5977.00,5024526.00,32,Hauts-de-France,C,Industrie manufacturière
Aide CPSTI,12.00,11454.00,32,Hauts-de-France,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,245.00,148760.00,32,Hauts-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
