dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section
Prêts garantis par l'Etat,199.00,27013244.00,04,La Réunion,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,99.00,8412852.00,04,La Réunion,P,Enseignement
Prêts garantis par l'Etat,368.00,27020355.00,04,La Réunion,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,84.00,7048107.00,04,La Réunion,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,287.00,9875271.00,04,La Réunion,S,Autres activités de services
Prêts garantis par l'Etat,4.00,287500.00,04,La Réunion,Z,Non connu
Prêts garantis par l'Etat,14.00,1046800.00,02,Martinique,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,56.00,12150461.00,02,Martinique,C,Industrie manufacturière
Prêts garantis par l'Etat,64.00,10307670.00,02,Martinique,F,Construction
Prêts garantis par l'Etat,152.00,42676231.00,02,Martinique,G,Commerce
Prêts garantis par l'Etat,24.00,20512600.00,02,Martinique,H,Transports et entreposage
Prêts garantis par l'Etat,50.00,4561500.00,02,Martinique,I,Hébergement et restauration
Prêts garantis par l'Etat,10.00,1812000.00,02,Martinique,J,Information et communication
Prêts garantis par l'Etat,8.00,922000.00,02,Martinique,K,Activités financières et d'assurance
Prêts garantis par l'Etat,9.00,2641349.00,02,Martinique,L,Activités immobilières
Prêts garantis par l'Etat,60.00,6039100.00,02,Martinique,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,43.00,6162139.00,02,Martinique,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,17.00,1510200.00,02,Martinique,P,Enseignement
Prêts garantis par l'Etat,48.00,3974649.00,02,Martinique,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,10.00,962000.00,02,Martinique,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,27.00,1291300.00,02,Martinique,S,Autres activités de services
Prêts garantis par l'Etat,4.00,874000.00,02,Martinique,Z,Non connu
Prêts garantis par l'Etat,5.00,599000.00,06,Mayotte,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,30.00,8109285.00,06,Mayotte,C,Industrie manufacturière
Prêts garantis par l'Etat,53.00,8056403.00,06,Mayotte,F,Construction
Prêts garantis par l'Etat,106.00,29104360.00,06,Mayotte,G,Commerce
Prêts garantis par l'Etat,22.00,2653300.00,06,Mayotte,H,Transports et entreposage
Prêts garantis par l'Etat,15.00,1831272.00,06,Mayotte,I,Hébergement et restauration
Prêts garantis par l'Etat,5.00,588654.00,06,Mayotte,J,Information et communication
Prêts garantis par l'Etat,3.00,256000.00,06,Mayotte,K,Activités financières et d'assurance
Prêts garantis par l'Etat,31.00,2276712.00,06,Mayotte,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,26.00,3542034.00,06,Mayotte,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,15.00,1002000.00,06,Mayotte,P,Enseignement
Prêts garantis par l'Etat,14.00,1142424.00,06,Mayotte,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,7.00,330400.00,06,Mayotte,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,11.00,638444.00,06,Mayotte,S,Autres activités de services
Prêts garantis par l'Etat,11.00,2668464.00,06,Mayotte,Z,Non connu
Prêts garantis par l'Etat,450.00,29599466.00,28,Normandie,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,1306.00,443818022.00,28,Normandie,C,Industrie manufacturière
Prêts garantis par l'Etat,39.00,12044800.00,28,Normandie,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,2329.00,285073997.00,28,Normandie,F,Construction
Prêts garantis par l'Etat,4508.00,747278139.00,28,Normandie,G,Commerce
Prêts garantis par l'Etat,422.00,158751236.00,28,Normandie,H,Transports et entreposage
Prêts garantis par l'Etat,3094.00,203021024.00,28,Normandie,I,Hébergement et restauration
Prêts garantis par l'Etat,216.00,25814614.00,28,Normandie,J,Information et communication
Prêts garantis par l'Etat,259.00,206953271.00,28,Normandie,K,Activités financières et d'assurance
Prêts garantis par l'Etat,349.00,28004564.00,28,Normandie,L,Activités immobilières
Prêts garantis par l'Etat,1123.00,141284144.00,28,Normandie,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,492.00,52911441.00,28,Normandie,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,342.00,28248340.00,28,Normandie,P,Enseignement
Prêts garantis par l'Etat,1035.00,71072801.00,28,Normandie,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,360.00,31885368.00,28,Normandie,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,1371.00,30749638.00,28,Normandie,S,Autres activités de services
Prêts garantis par l'Etat,112.00,5812245.00,28,Normandie,Z,Non connu
Prêts garantis par l'Etat,2919.00,290207217.00,75,Nouvelle-Aquitaine,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,7.00,2471000.00,75,Nouvelle-Aquitaine,B,Industries extractives
Prêts garantis par l'Etat,3721.00,1178128558.00,75,Nouvelle-Aquitaine,C,Industrie manufacturière
Prêts garantis par l'Etat,11.00,1911000.00,75,Nouvelle-Aquitaine,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,78.00,24831445.00,75,Nouvelle-Aquitaine,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,7075.00,791550519.00,75,Nouvelle-Aquitaine,F,Construction
Prêts garantis par l'Etat,12211.00,2079162595.00,75,Nouvelle-Aquitaine,G,Commerce
Prêts garantis par l'Etat,1078.00,192218522.00,75,Nouvelle-Aquitaine,H,Transports et entreposage
Prêts garantis par l'Etat,7629.00,604529085.00,75,Nouvelle-Aquitaine,I,Hébergement et restauration
Prêts garantis par l'Etat,651.00,101465102.00,75,Nouvelle-Aquitaine,J,Information et communication
Prêts garantis par l'Etat,836.00,418309865.00,75,Nouvelle-Aquitaine,K,Activités financières et d'assurance
Prêts garantis par l'Etat,1234.00,94239981.00,75,Nouvelle-Aquitaine,L,Activités immobilières
Prêts garantis par l'Etat,3369.00,634017961.00,75,Nouvelle-Aquitaine,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,1521.00,184754210.00,75,Nouvelle-Aquitaine,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,850.00,51528910.00,75,Nouvelle-Aquitaine,P,Enseignement
Prêts garantis par l'Etat,3533.00,195329359.00,75,Nouvelle-Aquitaine,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,905.00,68759149.00,75,Nouvelle-Aquitaine,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,3370.00,91532076.00,75,Nouvelle-Aquitaine,S,Autres activités de services
Prêts garantis par l'Etat,263.00,67048337.00,75,Nouvelle-Aquitaine,Z,Non connu
Prêts garantis par l'Etat,1776.00,125201214.00,76,Occitanie,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,19.00,2690082.00,76,Occitanie,B,Industries extractives
Prêts garantis par l'Etat,3266.00,1034044187.00,76,Occitanie,C,Industrie manufacturière
Prêts garantis par l'Etat,16.00,4812300.00,76,Occitanie,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,82.00,27741529.00,76,Occitanie,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,6696.00,769210603.00,76,Occitanie,F,Construction
Prêts garantis par l'Etat,12173.00,1963053951.00,76,Occitanie,G,Commerce
Prêts garantis par l'Etat,1059.00,150807551.00,76,Occitanie,H,Transports et entreposage
Prêts garantis par l'Etat,7872.00,579677877.00,76,Occitanie,I,Hébergement et restauration
Prêts garantis par l'Etat,781.00,180665828.00,76,Occitanie,J,Information et communication
Prêts garantis par l'Etat,763.00,543468836.00,76,Occitanie,K,Activités financières et d'assurance
Prêts garantis par l'Etat,1204.00,108778971.00,76,Occitanie,L,Activités immobilières
Prêts garantis par l'Etat,3891.00,726648701.00,76,Occitanie,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,1481.00,212993766.00,76,Occitanie,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,867.00,43993459.00,76,Occitanie,P,Enseignement
Prêts garantis par l'Etat,3644.00,228305395.00,76,Occitanie,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,894.00,81798739.00,76,Occitanie,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,3070.00,87416155.00,76,Occitanie,S,Autres activités de services
Prêts garantis par l'Etat,341.00,31033995.00,76,Occitanie,Z,Non connu
Prêts garantis par l'Etat,639.00,63706660.00,52,Pays de la Loire,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,3.00,9286000.00,52,Pays de la Loire,B,Industries extractives
Prêts garantis par l'Etat,1758.00,724212752.00,52,Pays de la Loire,C,Industrie manufacturière
Prêts garantis par l'Etat,40.00,8167800.00,52,Pays de la Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,2771.00,347332462.00,52,Pays de la Loire,F,Construction
Prêts garantis par l'Etat,4957.00,814488963.00,52,Pays de la Loire,G,Commerce
Prêts garantis par l'Etat,340.00,58177737.00,52,Pays de la Loire,H,Transports et entreposage
Prêts garantis par l'Etat,3277.00,218913815.00,52,Pays de la Loire,I,Hébergement et restauration
Prêts garantis par l'Etat,364.00,86022667.00,52,Pays de la Loire,J,Information et communication
Prêts garantis par l'Etat,350.00,427820990.00,52,Pays de la Loire,K,Activités financières et d'assurance
Prêts garantis par l'Etat,387.00,30797473.00,52,Pays de la Loire,L,Activités immobilières
Prêts garantis par l'Etat,1580.00,615692668.00,52,Pays de la Loire,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,631.00,81748403.00,52,Pays de la Loire,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,418.00,28079120.00,52,Pays de la Loire,P,Enseignement
Prêts garantis par l'Etat,1510.00,94591109.00,52,Pays de la Loire,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,470.00,50154279.00,52,Pays de la Loire,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,1531.00,41513815.00,52,Pays de la Loire,S,Autres activités de services
Prêts garantis par l'Etat,147.00,9247346.00,52,Pays de la Loire,Z,Non connu
Prêts garantis par l'Etat,1005.00,92044369.00,93,Provence-Alpes-Côte d'Azur,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,3.00,520000.00,93,Provence-Alpes-Côte d'Azur,B,Industries extractives
Prêts garantis par l'Etat,3220.00,731610485.00,93,Provence-Alpes-Côte d'Azur,C,Industrie manufacturière
