dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,3347.00,1540376276.00,44,Grand Est,C,Industrie manufacturière,2020-09-04
Prêts garantis par l'Etat,109.00,29693733.00,44,Grand Est,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-04
Prêts garantis par l'Etat,5972.00,794596730.00,44,Grand Est,F,Construction,2020-09-04
Prêts garantis par l'Etat,9282.00,1741541913.00,44,Grand Est,G,Commerce,2020-09-04
Prêts garantis par l'Etat,996.00,240023810.00,44,Grand Est,H,Transports et entreposage,2020-09-04
Prêts garantis par l'Etat,5686.00,454785768.00,44,Grand Est,I,Hébergement et restauration,2020-09-04
Prêts garantis par l'Etat,539.00,83303999.00,44,Grand Est,J,Information et communication,2020-09-04
Prêts garantis par l'Etat,669.00,811176342.00,44,Grand Est,K,Activités financières et d'assurance,2020-09-04
Prêts garantis par l'Etat,743.00,111117135.00,44,Grand Est,L,Activités immobilières,2020-09-04
Prêts garantis par l'Etat,2797.00,382734788.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques",2020-09-04
Prêts garantis par l'Etat,1146.00,188029811.00,44,Grand Est,N,Activités de services administratifs et de soutien,2020-09-04
Prêts garantis par l'Etat,705.00,47710699.00,44,Grand Est,P,Enseignement,2020-09-04
Prêts garantis par l'Etat,2931.00,225881984.00,44,Grand Est,Q,Santé humaine et action sociale,2020-09-04
Prêts garantis par l'Etat,637.00,81851030.00,44,Grand Est,R,"Arts, spectacles et activités récréatives",2020-09-04
Prêts garantis par l'Etat,2578.00,84451531.00,44,Grand Est,S,Autres activités de services,2020-09-04
Prêts garantis par l'Etat,165.00,15688157.00,44,Grand Est,Z,Non connu,2020-09-04
Prêts garantis par l'Etat,91.00,8839400.00,01,Guadeloupe,A,"Agriculture, sylviculture et pêche",2020-09-04
Prêts garantis par l'Etat,3.00,3175000.00,01,Guadeloupe,B,Industries extractives,2020-09-04
Prêts garantis par l'Etat,344.00,55774955.00,01,Guadeloupe,C,Industrie manufacturière,2020-09-04
Prêts garantis par l'Etat,5.00,535000.00,01,Guadeloupe,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-09-04
Prêts garantis par l'Etat,19.00,7916306.00,01,Guadeloupe,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-04
Prêts garantis par l'Etat,382.00,61290761.00,01,Guadeloupe,F,Construction,2020-09-04
Prêts garantis par l'Etat,993.00,232411691.00,01,Guadeloupe,G,Commerce,2020-09-04
Prêts garantis par l'Etat,143.00,33852117.00,01,Guadeloupe,H,Transports et entreposage,2020-09-04
Prêts garantis par l'Etat,383.00,48888745.00,01,Guadeloupe,I,Hébergement et restauration,2020-09-04
Prêts garantis par l'Etat,68.00,9082294.00,01,Guadeloupe,J,Information et communication,2020-09-04
Prêts garantis par l'Etat,36.00,12207989.00,01,Guadeloupe,K,Activités financières et d'assurance,2020-09-04
Prêts garantis par l'Etat,72.00,7925818.00,01,Guadeloupe,L,Activités immobilières,2020-09-04
Prêts garantis par l'Etat,289.00,33704362.00,01,Guadeloupe,M,"Activités spécialisées, scientifiques et techniques",2020-09-04
Prêts garantis par l'Etat,263.00,37596700.00,01,Guadeloupe,N,Activités de services administratifs et de soutien,2020-09-04
Prêts garantis par l'Etat,59.00,4352680.00,01,Guadeloupe,P,Enseignement,2020-09-04
Prêts garantis par l'Etat,213.00,18189998.00,01,Guadeloupe,Q,Santé humaine et action sociale,2020-09-04
Prêts garantis par l'Etat,59.00,4116335.00,01,Guadeloupe,R,"Arts, spectacles et activités récréatives",2020-09-04
Prêts garantis par l'Etat,103.00,5130039.00,01,Guadeloupe,S,Autres activités de services,2020-09-04
Prêts garantis par l'Etat,6.00,559082.00,01,Guadeloupe,Z,Non connu,2020-09-04
Prêts garantis par l'Etat,24.00,1342262.00,03,Guyane,A,"Agriculture, sylviculture et pêche",2020-09-04
Prêts garantis par l'Etat,5.00,1909000.00,03,Guyane,B,Industries extractives,2020-09-04
Prêts garantis par l'Etat,80.00,15990461.00,03,Guyane,C,Industrie manufacturière,2020-09-04
Prêts garantis par l'Etat,109.00,21791023.00,03,Guyane,F,Construction,2020-09-04
Prêts garantis par l'Etat,215.00,53500001.00,03,Guyane,G,Commerce,2020-09-04
Prêts garantis par l'Etat,46.00,22541771.00,03,Guyane,H,Transports et entreposage,2020-09-04
Prêts garantis par l'Etat,78.00,7278270.00,03,Guyane,I,Hébergement et restauration,2020-09-04
Prêts garantis par l'Etat,18.00,2252200.00,03,Guyane,J,Information et communication,2020-09-04
Prêts garantis par l'Etat,11.00,2079000.00,03,Guyane,K,Activités financières et d'assurance,2020-09-04
Prêts garantis par l'Etat,9.00,2641349.00,03,Guyane,L,Activités immobilières,2020-09-04
Prêts garantis par l'Etat,84.00,7715389.00,03,Guyane,M,"Activités spécialisées, scientifiques et techniques",2020-09-04
Prêts garantis par l'Etat,59.00,9637410.00,03,Guyane,N,Activités de services administratifs et de soutien,2020-09-04
Prêts garantis par l'Etat,23.00,2165400.00,03,Guyane,P,Enseignement,2020-09-04
Prêts garantis par l'Etat,64.00,4727549.00,03,Guyane,Q,Santé humaine et action sociale,2020-09-04
Prêts garantis par l'Etat,14.00,1060900.00,03,Guyane,R,"Arts, spectacles et activités récréatives",2020-09-04
Prêts garantis par l'Etat,36.00,1707700.00,03,Guyane,S,Autres activités de services,2020-09-04
Prêts garantis par l'Etat,5.00,448000.00,03,Guyane,Z,Non connu,2020-09-04
Prêts garantis par l'Etat,720.00,50602773.00,32,Hauts-de-France,A,"Agriculture, sylviculture et pêche",2020-09-04
Prêts garantis par l'Etat,2448.00,1248011580.00,32,Hauts-de-France,C,Industrie manufacturière,2020-09-04
Prêts garantis par l'Etat,4.00,4466877.00,32,Hauts-de-France,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-09-04
Prêts garantis par l'Etat,69.00,35740950.00,32,Hauts-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-04
Prêts garantis par l'Etat,4870.00,829734149.00,32,Hauts-de-France,F,Construction,2020-09-04
Prêts garantis par l'Etat,7819.00,2436379387.00,32,Hauts-de-France,G,Commerce,2020-09-04
Prêts garantis par l'Etat,1098.00,274489629.00,32,Hauts-de-France,H,Transports et entreposage,2020-09-04
Prêts garantis par l'Etat,4984.00,361259309.00,32,Hauts-de-France,I,Hébergement et restauration,2020-09-04
Prêts garantis par l'Etat,591.00,117756285.00,32,Hauts-de-France,J,Information et communication,2020-09-04
Prêts garantis par l'Etat,529.00,696636143.00,32,Hauts-de-France,K,Activités financières et d'assurance,2020-09-04
Prêts garantis par l'Etat,680.00,68019262.00,32,Hauts-de-France,L,Activités immobilières,2020-09-04
Prêts garantis par l'Etat,2780.00,394586094.00,32,Hauts-de-France,M,"Activités spécialisées, scientifiques et techniques",2020-09-04
Prêts garantis par l'Etat,1070.00,312158667.00,32,Hauts-de-France,N,Activités de services administratifs et de soutien,2020-09-04
Prêts garantis par l'Etat,721.00,51631814.00,32,Hauts-de-France,P,Enseignement,2020-09-04
Prêts garantis par l'Etat,2825.00,192483359.00,32,Hauts-de-France,Q,Santé humaine et action sociale,2020-09-04
Prêts garantis par l'Etat,693.00,64999230.00,32,Hauts-de-France,R,"Arts, spectacles et activités récréatives",2020-09-04
Prêts garantis par l'Etat,2260.00,70250866.00,32,Hauts-de-France,S,Autres activités de services,2020-09-04
Prêts garantis par l'Etat,172.00,17821898.00,32,Hauts-de-France,Z,Non connu,2020-09-04
Prêts garantis par l'Etat,139.00,9929070.00,11,Île-de-France,A,"Agriculture, sylviculture et pêche",2020-09-04
Prêts garantis par l'Etat,5354.00,7435595824.00,11,Île-de-France,C,Industrie manufacturière,2020-09-04
Prêts garantis par l'Etat,21.00,70689000.00,11,Île-de-France,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-09-04
Prêts garantis par l'Etat,142.00,221641947.00,11,Île-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-04
