dispositif,volet,nombre_aides,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,VOLET1,523,670646.00,94,Corse,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,1749,2109735.00,94,Corse,S,Autres activités de services
Fonds de solidarité,VOLET1,2330,3230362.00,44,Grand Est,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,7,8154.00,44,Grand Est,B,Industries extractives
Fonds de solidarité,VOLET1,5651,7375642.00,44,Grand Est,C,Industrie manufacturière
Fonds de solidarité,VOLET1,10,13810.00,44,Grand Est,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,442,509686.00,44,Grand Est,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,16986,24562494.00,44,Grand Est,F,Construction
Fonds de solidarité,VOLET1,24598,33258886.00,44,Grand Est,G,Commerce
Fonds de solidarité,VOLET1,3290,4512117.00,44,Grand Est,H,Transports et entreposage
Fonds de solidarité,VOLET1,15939,23155961.00,44,Grand Est,I,Hébergement et restauration
Fonds de solidarité,VOLET1,1761,2266229.00,44,Grand Est,J,Information et communication
Fonds de solidarité,VOLET1,1032,1442086.00,44,Grand Est,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,2822,3860115.00,44,Grand Est,L,Activités immobilières
Fonds de solidarité,VOLET1,9973,13515107.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,4528,5796493.00,44,Grand Est,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,5617,6892505.00,44,Grand Est,P,Enseignement
Fonds de solidarité,VOLET1,12459,17212068.00,44,Grand Est,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,5022,5974376.00,44,Grand Est,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,21433,26403830.00,44,Grand Est,S,Autres activités de services
Fonds de solidarité,VOLET1,1085,1516565.00,01,Guadeloupe,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,1231,1721821.00,01,Guadeloupe,C,Industrie manufacturière
Fonds de solidarité,VOLET1,7,10500.00,01,Guadeloupe,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,25,37000.00,01,Guadeloupe,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,2046,2960630.00,01,Guadeloupe,F,Construction
Fonds de solidarité,VOLET1,3381,4703674.00,01,Guadeloupe,G,Commerce
Fonds de solidarité,VOLET1,787,1117257.00,01,Guadeloupe,H,Transports et entreposage
Fonds de solidarité,VOLET1,2024,2914103.00,01,Guadeloupe,I,Hébergement et restauration
Fonds de solidarité,VOLET1,330,454588.00,01,Guadeloupe,J,Information et communication
Fonds de solidarité,VOLET1,111,154839.00,01,Guadeloupe,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,456,639213.00,01,Guadeloupe,L,Activités immobilières
Fonds de solidarité,VOLET1,1293,1810744.00,01,Guadeloupe,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,1390,1873072.00,01,Guadeloupe,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,758,985991.00,01,Guadeloupe,P,Enseignement
Fonds de solidarité,VOLET1,1157,1641170.00,01,Guadeloupe,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,459,606209.00,01,Guadeloupe,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,1338,1728304.00,01,Guadeloupe,S,Autres activités de services
Fonds de solidarité,VOLET1,463,626740.00,03,Guyane,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,5,7500.00,03,Guyane,B,Industries extractives
Fonds de solidarité,VOLET1,234,331658.00,03,Guyane,C,Industrie manufacturière
Fonds de solidarité,VOLET1,5,7500.00,03,Guyane,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,489,713737.00,03,Guyane,F,Construction
Fonds de solidarité,VOLET1,622,887373.00,03,Guyane,G,Commerce
Fonds de solidarité,VOLET1,160,232364.00,03,Guyane,H,Transports et entreposage
Fonds de solidarité,VOLET1,413,593016.00,03,Guyane,I,Hébergement et restauration
Fonds de solidarité,VOLET1,62,88772.00,03,Guyane,J,Information et communication
Fonds de solidarité,VOLET1,39,56668.00,03,Guyane,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,49,68128.00,03,Guyane,L,Activités immobilières
Fonds de solidarité,VOLET1,316,454099.00,03,Guyane,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,245,343165.00,03,Guyane,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,166,233660.00,03,Guyane,P,Enseignement
Fonds de solidarité,VOLET1,209,299319.00,03,Guyane,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,93,125751.00,03,Guyane,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,254,338193.00,03,Guyane,S,Autres activités de services
Fonds de solidarité,VOLET1,1421,1921395.00,32,Hauts-de-France,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,3,3931.00,32,Hauts-de-France,B,Industries extractives
Fonds de solidarité,VOLET1,4522,5621999.00,32,Hauts-de-France,C,Industrie manufacturière
Fonds de solidarité,VOLET1,14,20025.00,32,Hauts-de-France,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,217,261668.00,32,Hauts-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,14697,20940150.00,32,Hauts-de-France,F,Construction
Fonds de solidarité,VOLET1,24636,31966113.00,32,Hauts-de-France,G,Commerce
Fonds de solidarité,VOLET1,5120,7074489.00,32,Hauts-de-France,H,Transports et entreposage
Fonds de solidarité,VOLET1,15726,22820949.00,32,Hauts-de-France,I,Hébergement et restauration
Fonds de solidarité,VOLET1,1738,2252753.00,32,Hauts-de-France,J,Information et communication
Fonds de solidarité,VOLET1,1065,1500238.00,32,Hauts-de-France,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,2757,3747936.00,32,Hauts-de-France,L,Activités immobilières
