dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,VOLET1,5484,1689,12412035.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,3038,858,5109670.00,94,Corse,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,1689,388,2499605.00,94,Corse,P,Enseignement
Fonds de solidarité,VOLET1,2041,907,2746047.00,94,Corse,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,2332,496,4685084.00,94,Corse,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,4283,1241,6961130.00,94,Corse,S,Autres activités de services
Fonds de solidarité,VOLET1,16129,9192,57983583.00,44,Grand Est,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,13,6,22058.00,44,Grand Est,B,Industries extractives
Fonds de solidarité,VOLET1,14456,5325,22956165.00,44,Grand Est,C,Industrie manufacturière
Fonds de solidarité,VOLET1,82,46,115550.00,44,Grand Est,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,1602,511,2335557.00,44,Grand Est,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,34799,15321,52204232.00,44,Grand Est,F,Construction
Fonds de solidarité,VOLET1,64063,21355,128230546.00,44,Grand Est,G,Commerce
Fonds de solidarité,VOLET1,13672,3423,23779007.00,44,Grand Est,H,Transports et entreposage
Fonds de solidarité,VOLET1,58019,13165,170718688.00,44,Grand Est,I,Hébergement et restauration
Fonds de solidarité,VOLET1,5808,1791,9560509.00,44,Grand Est,J,Information et communication
Fonds de solidarité,VOLET1,2621,981,4094242.00,44,Grand Est,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,8317,2829,13970484.00,44,Grand Est,L,Activités immobilières
Fonds de solidarité,VOLET1,29161,9906,49836989.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,13097,4220,22651872.00,44,Grand Est,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,15,4,28216.00,44,Grand Est,O,Administration publique
Fonds de solidarité,VOLET1,16541,4504,25589483.00,44,Grand Est,P,Enseignement
Fonds de solidarité,VOLET1,23721,10950,32247823.00,44,Grand Est,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,23659,4950,39669445.00,44,Grand Est,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,48945,14425,83670885.00,44,Grand Est,S,Autres activités de services
Fonds de solidarité,VOLET1,10119,2472,15746432.00,01,Guadeloupe,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,3983,1167,6261523.00,01,Guadeloupe,C,Industrie manufacturière
Fonds de solidarité,VOLET1,15,6,22500.00,01,Guadeloupe,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,64,24,93500.00,01,Guadeloupe,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,5864,2123,8896481.00,01,Guadeloupe,F,Construction
Fonds de solidarité,VOLET1,10522,3067,16529388.00,01,Guadeloupe,G,Commerce
Fonds de solidarité,VOLET1,3290,715,5203695.00,01,Guadeloupe,H,Transports et entreposage
Fonds de solidarité,VOLET1,11353,1980,19986651.00,01,Guadeloupe,I,Hébergement et restauration
Fonds de solidarité,VOLET1,1053,290,1709629.00,01,Guadeloupe,J,Information et communication
Fonds de solidarité,VOLET1,332,101,511386.00,01,Guadeloupe,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,1488,420,2180400.00,01,Guadeloupe,L,Activités immobilières
Fonds de solidarité,VOLET1,3955,1220,6056543.00,01,Guadeloupe,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,5954,1331,9954454.00,01,Guadeloupe,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,2385,648,3225367.00,01,Guadeloupe,P,Enseignement
Fonds de solidarité,VOLET1,2417,1002,3473431.00,01,Guadeloupe,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,2531,462,4352676.00,01,Guadeloupe,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,3637,1098,4995283.00,01,Guadeloupe,S,Autres activités de services
Fonds de solidarité,VOLET1,4279,802,7596091.00,03,Guyane,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,128,29,355706.00,03,Guyane,B,Industries extractives
Fonds de solidarité,VOLET1,1967,391,4199994.00,03,Guyane,C,Industrie manufacturière
Fonds de solidarité,VOLET1,36,9,80616.00,03,Guyane,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,5358,1056,12493395.00,03,Guyane,F,Construction
Fonds de solidarité,VOLET1,4606,947,9828178.00,03,Guyane,G,Commerce
Fonds de solidarité,VOLET1,1525,280,3497034.00,03,Guyane,H,Transports et entreposage
Fonds de solidarité,VOLET1,3393,560,7545307.00,03,Guyane,I,Hébergement et restauration
Fonds de solidarité,VOLET1,437,82,976756.00,03,Guyane,J,Information et communication
Fonds de solidarité,VOLET1,220,42,483238.00,03,Guyane,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,385,78,773992.00,03,Guyane,L,Activités immobilières
Fonds de solidarité,VOLET1,1901,415,3936310.00,03,Guyane,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,2107,380,4715604.00,03,Guyane,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,752,152,1406904.00,03,Guyane,P,Enseignement
Fonds de solidarité,VOLET1,767,237,1405088.00,03,Guyane,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,792,133,1662093.00,03,Guyane,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,1420,279,2719170.00,03,Guyane,S,Autres activités de services
Fonds de solidarité,VOLET1,4209,1829,8920341.00,32,Hauts-de-France,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,6,3,8323.00,32,Hauts-de-France,B,Industries extractives
Fonds de solidarité,VOLET1,11050,4003,15957685.00,32,Hauts-de-France,C,Industrie manufacturière
Fonds de solidarité,VOLET1,37,14,87469.00,32,Hauts-de-France,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,611,228,852572.00,32,Hauts-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,29030,12694,43401995.00,32,Hauts-de-France,F,Construction
Fonds de solidarité,VOLET1,61659,19986,116722918.00,32,Hauts-de-France,G,Commerce
Fonds de solidarité,VOLET1,22564,5007,39391658.00,32,Hauts-de-France,H,Transports et entreposage
Fonds de solidarité,VOLET1,55335,12476,156615299.00,32,Hauts-de-France,I,Hébergement et restauration
Fonds de solidarité,VOLET1,5743,1827,9442801.00,32,Hauts-de-France,J,Information et communication
Fonds de solidarité,VOLET1,2708,908,4329813.00,32,Hauts-de-France,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,7373,2495,13033901.00,32,Hauts-de-France,L,Activités immobilières
Fonds de solidarité,VOLET1,28507,9351,50279447.00,32,Hauts-de-France,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,12795,3990,22019856.00,32,Hauts-de-France,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,14613,3954,23076870.00,32,Hauts-de-France,P,Enseignement
