dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,VOLET1,1171,294,2261707.00,01,Guadeloupe,J,Information et communication
Fonds de solidarité,VOLET1,357,104,588177.00,01,Guadeloupe,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,1611,426,2450183.00,01,Guadeloupe,L,Activités immobilières
Fonds de solidarité,VOLET1,4329,1235,6959236.00,01,Guadeloupe,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,6521,1355,12993971.00,01,Guadeloupe,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,2541,648,3455846.00,01,Guadeloupe,P,Enseignement
Fonds de solidarité,VOLET1,2480,1004,3617820.00,01,Guadeloupe,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,2807,472,5430147.00,01,Guadeloupe,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,3855,1108,5412626.00,01,Guadeloupe,S,Autres activités de services
Fonds de solidarité,VOLET1,5001,805,8703178.00,03,Guyane,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,132,29,361706.00,03,Guyane,B,Industries extractives
Fonds de solidarité,VOLET1,2088,394,4434995.00,03,Guyane,C,Industrie manufacturière
Fonds de solidarité,VOLET1,36,9,80616.00,03,Guyane,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,5821,1068,13390608.00,03,Guyane,F,Construction
Fonds de solidarité,VOLET1,4909,955,10440054.00,03,Guyane,G,Commerce
Fonds de solidarité,VOLET1,1658,287,4001936.00,03,Guyane,H,Transports et entreposage
Fonds de solidarité,VOLET1,3734,566,9235673.00,03,Guyane,I,Hébergement et restauration
Fonds de solidarité,VOLET1,476,82,1139130.00,03,Guyane,J,Information et communication
Fonds de solidarité,VOLET1,239,43,542161.00,03,Guyane,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,421,79,836886.00,03,Guyane,L,Activités immobilières
Fonds de solidarité,VOLET1,2072,419,4375439.00,03,Guyane,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,2329,386,5657157.00,03,Guyane,N,Activités de services administratifs et de soutien
