dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section
Prêts garantis par l'Etat,15.00,3974000.00,03,Guyane,H,Transports et entreposage
Prêts garantis par l'Etat,34.00,2354230.00,03,Guyane,I,Hébergement et restauration
Prêts garantis par l'Etat,6.00,1296000.00,03,Guyane,J,Information et communication
Prêts garantis par l'Etat,8.00,922000.00,03,Guyane,K,Activités financières et d'assurance
Prêts garantis par l'Etat,7.00,2620500.00,03,Guyane,L,Activités immobilières
Prêts garantis par l'Etat,45.00,4559100.00,03,Guyane,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,26.00,4337580.00,03,Guyane,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,9.00,681000.00,03,Guyane,P,Enseignement
Prêts garantis par l'Etat,28.00,2139862.00,03,Guyane,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,14.00,567400.00,03,Guyane,S,Autres activités de services
Prêts garantis par l'Etat,5.00,362000.00,03,Guyane,Z,Non connu
Prêts garantis par l'Etat,270.00,27085710.00,32,Hauts-de-France,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,1582.00,577016134.00,32,Hauts-de-France,C,Industrie manufacturière
Prêts garantis par l'Etat,11.00,6164000.00,32,Hauts-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,3256.00,591354771.00,32,Hauts-de-France,F,Construction
Prêts garantis par l'Etat,5573.00,1025061167.00,32,Hauts-de-France,G,Commerce
Prêts garantis par l'Etat,668.00,160523046.00,32,Hauts-de-France,H,Transports et entreposage
Prêts garantis par l'Etat,3615.00,260377479.00,32,Hauts-de-France,I,Hébergement et restauration
Prêts garantis par l'Etat,372.00,83983644.00,32,Hauts-de-France,J,Information et communication
Prêts garantis par l'Etat,319.00,110340629.00,32,Hauts-de-France,K,Activités financières et d'assurance
Prêts garantis par l'Etat,459.00,45057449.00,32,Hauts-de-France,L,Activités immobilières
Prêts garantis par l'Etat,1790.00,258944655.00,32,Hauts-de-France,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,660.00,98637661.00,32,Hauts-de-France,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,464.00,36515280.00,32,Hauts-de-France,P,Enseignement
Prêts garantis par l'Etat,1919.00,117271986.00,32,Hauts-de-France,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,404.00,41738876.00,32,Hauts-de-France,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,1805.00,54763910.00,32,Hauts-de-France,S,Autres activités de services
Prêts garantis par l'Etat,167.00,27422775.00,32,Hauts-de-France,Z,Non connu
Prêts garantis par l'Etat,90.00,8982252.00,04,La Réunion,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,3.00,2300000.00,04,La Réunion,B,Industries extractives
Prêts garantis par l'Etat,347.00,53425177.00,04,La Réunion,C,Industrie manufacturière
Prêts garantis par l'Etat,15.00,2467000.00,04,La Réunion,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,555.00,67483627.00,04,La Réunion,F,Construction
Prêts garantis par l'Etat,1079.00,234760859.00,04,La Réunion,G,Commerce
Prêts garantis par l'Etat,135.00,75580644.00,04,La Réunion,H,Transports et entreposage
Prêts garantis par l'Etat,356.00,30105770.00,04,La Réunion,I,Hébergement et restauration
Prêts garantis par l'Etat,41.00,3593326.00,04,La Réunion,J,Information et communication
Prêts garantis par l'Etat,46.00,7013070.00,04,La Réunion,K,Activités financières et d'assurance
Prêts garantis par l'Etat,43.00,2922224.00,04,La Réunion,L,Activités immobilières
Prêts garantis par l'Etat,227.00,21157936.00,04,La Réunion,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,158.00,21880744.00,04,La Réunion,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,83.00,7857912.00,04,La Réunion,P,Enseignement
Prêts garantis par l'Etat,287.00,22923406.00,04,La Réunion,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,60.00,5511307.00,04,La Réunion,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,222.00,6736266.00,04,La Réunion,S,Autres activités de services
Prêts garantis par l'Etat,5.00,340843.00,04,La Réunion,Z,Non connu
Prêts garantis par l'Etat,26.00,8538506.00,02,Martinique,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,152.00,19447758.00,02,Martinique,C,Industrie manufacturière
Prêts garantis par l'Etat,5.00,2131959.00,02,Martinique,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,5.00,1057000.00,02,Martinique,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,140.00,21159443.00,02,Martinique,F,Construction
Prêts garantis par l'Etat,457.00,105387099.00,02,Martinique,G,Commerce
Prêts garantis par l'Etat,60.00,22979690.00,02,Martinique,H,Transports et entreposage
Prêts garantis par l'Etat,140.00,13349395.00,02,Martinique,I,Hébergement et restauration
Prêts garantis par l'Etat,23.00,2944655.00,02,Martinique,J,Information et communication
Prêts garantis par l'Etat,32.00,34251672.00,02,Martinique,K,Activités financières et d'assurance
Prêts garantis par l'Etat,23.00,1764701.00,02,Martinique,L,Activités immobilières
Prêts garantis par l'Etat,131.00,23839359.00,02,Martinique,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,87.00,12426895.00,02,Martinique,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,23.00,784068.00,02,Martinique,P,Enseignement
Prêts garantis par l'Etat,115.00,9987849.00,02,Martinique,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,29.00,4791909.00,02,Martinique,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,77.00,3780138.00,02,Martinique,S,Autres activités de services
Prêts garantis par l'Etat,6.00,617000.00,02,Martinique,Z,Non connu
