dispositif,volet,nombre_aides,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,VOLET2,51,128153.50,75,Nouvelle-Aquitaine,C,Industrie manufacturière
Fonds de solidarité,VOLET2,106,279500.00,75,Nouvelle-Aquitaine,F,Construction
Fonds de solidarité,VOLET2,324,856642.00,75,Nouvelle-Aquitaine,G,Commerce
Fonds de solidarité,VOLET2,28,87574.12,75,Nouvelle-Aquitaine,H,Transports et entreposage
Fonds de solidarité,VOLET2,554,1875555.91,75,Nouvelle-Aquitaine,I,Hébergement et restauration
Fonds de solidarité,VOLET2,20,65000.00,75,Nouvelle-Aquitaine,J,Information et communication
Fonds de solidarité,VOLET2,6,15000.00,75,Nouvelle-Aquitaine,K,Activités financières et d'assurance
Fonds de solidarité,VOLET2,28,69500.00,75,Nouvelle-Aquitaine,L,Activités immobilières
Fonds de solidarité,VOLET2,140,392795.00,75,Nouvelle-Aquitaine,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET2,55,143926.00,75,Nouvelle-Aquitaine,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET2,65,146000.00,75,Nouvelle-Aquitaine,P,Enseignement
Fonds de solidarité,VOLET2,12,28500.00,75,Nouvelle-Aquitaine,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET2,92,352627.48,75,Nouvelle-Aquitaine,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET2,121,261196.77,75,Nouvelle-Aquitaine,S,Autres activités de services
Fonds de solidarité,VOLET2,39,96000.00,76,Occitanie,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET2,50,128500.00,76,Occitanie,C,Industrie manufacturière
Fonds de solidarité,VOLET2,129,332120.07,76,Occitanie,F,Construction
Fonds de solidarité,VOLET2,340,870828.00,76,Occitanie,G,Commerce
Fonds de solidarité,VOLET2,30,72000.00,76,Occitanie,H,Transports et entreposage
Fonds de solidarité,VOLET2,556,1448630.76,76,Occitanie,I,Hébergement et restauration
Fonds de solidarité,VOLET2,17,37000.00,76,Occitanie,J,Information et communication
Fonds de solidarité,VOLET2,9,19500.00,76,Occitanie,K,Activités financières et d'assurance
Fonds de solidarité,VOLET2,43,99400.00,76,Occitanie,L,Activités immobilières
Fonds de solidarité,VOLET2,124,305000.00,76,Occitanie,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET2,38,85000.00,76,Occitanie,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET2,52,120500.00,76,Occitanie,P,Enseignement
Fonds de solidarité,VOLET2,22,51500.00,76,Occitanie,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET2,72,172500.00,76,Occitanie,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET2,145,305000.00,76,Occitanie,S,Autres activités de services
Fonds de solidarité,VOLET2,12,30000.00,52,Pays de la Loire,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET2,21,57000.00,52,Pays de la Loire,C,Industrie manufacturière
Fonds de solidarité,VOLET2,54,144000.00,52,Pays de la Loire,F,Construction
Fonds de solidarité,VOLET2,146,390405.00,52,Pays de la Loire,G,Commerce
Fonds de solidarité,VOLET2,13,34000.00,52,Pays de la Loire,H,Transports et entreposage
Fonds de solidarité,VOLET2,291,906256.92,52,Pays de la Loire,I,Hébergement et restauration
Fonds de solidarité,VOLET2,6,29972.00,52,Pays de la Loire,J,Information et communication
Fonds de solidarité,VOLET2,5,10000.00,52,Pays de la Loire,K,Activités financières et d'assurance
Fonds de solidarité,VOLET2,16,33112.00,52,Pays de la Loire,L,Activités immobilières
