dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section
Prêts garantis par l'Etat,2433.00,337105168.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,991.00,163608281.00,44,Grand Est,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,613.00,41818754.00,44,Grand Est,P,Enseignement
Prêts garantis par l'Etat,2512.00,199923204.00,44,Grand Est,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,529.00,72462062.00,44,Grand Est,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,2376.00,76300624.00,44,Grand Est,S,Autres activités de services
Prêts garantis par l'Etat,186.00,28654446.00,44,Grand Est,Z,Non connu
Prêts garantis par l'Etat,56.00,4234400.00,01,Guadeloupe,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,253.00,46905232.00,01,Guadeloupe,C,Industrie manufacturière
Prêts garantis par l'Etat,5.00,535000.00,01,Guadeloupe,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,15.00,7165306.00,01,Guadeloupe,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,264.00,46995931.00,01,Guadeloupe,F,Construction
Prêts garantis par l'Etat,769.00,197513764.00,01,Guadeloupe,G,Commerce
Prêts garantis par l'Etat,96.00,27008931.00,01,Guadeloupe,H,Transports et entreposage
Prêts garantis par l'Etat,293.00,41590256.00,01,Guadeloupe,I,Hébergement et restauration
Prêts garantis par l'Etat,54.00,5910168.00,01,Guadeloupe,J,Information et communication
Prêts garantis par l'Etat,26.00,10776189.00,01,Guadeloupe,K,Activités financières et d'assurance
Prêts garantis par l'Etat,53.00,5510392.00,01,Guadeloupe,L,Activités immobilières
Prêts garantis par l'Etat,213.00,28729145.00,01,Guadeloupe,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,189.00,25104591.00,01,Guadeloupe,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,38.00,2606430.00,01,Guadeloupe,P,Enseignement
Prêts garantis par l'Etat,160.00,12849432.00,01,Guadeloupe,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,45.00,3400335.00,01,Guadeloupe,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,71.00,2891115.00,01,Guadeloupe,S,Autres activités de services
Prêts garantis par l'Etat,3.00,2711398.00,01,Guadeloupe,Z,Non connu
Prêts garantis par l'Etat,42.00,9638506.00,03,Guyane,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,218.00,33695789.00,03,Guyane,C,Industrie manufacturière
Prêts garantis par l'Etat,8.00,1282000.00,03,Guyane,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,221.00,30786597.00,03,Guyane,F,Construction
Prêts garantis par l'Etat,658.00,152595503.00,03,Guyane,G,Commerce
Prêts garantis par l'Etat,113.00,29580449.00,03,Guyane,H,Transports et entreposage
Prêts garantis par l'Etat,234.00,22683052.00,03,Guyane,I,Hébergement et restauration
Prêts garantis par l'Etat,43.00,4732912.00,03,Guyane,J,Information et communication
Prêts garantis par l'Etat,53.00,139366727.00,03,Guyane,K,Activités financières et d'assurance
Prêts garantis par l'Etat,33.00,2397015.00,03,Guyane,L,Activités immobilières
Prêts garantis par l'Etat,213.00,29670283.00,03,Guyane,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,143.00,21182175.00,03,Guyane,N,Activités de services administratifs et de soutien
