dispositif,nombre_reports,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Reports d'échéances fiscales,22.00,351131.00,94,Corse,N,Activités de services administratifs et de soutien,2020-09-03
Reports d'échéances fiscales,5.00,9534.00,94,Corse,P,Enseignement,2020-09-03
Reports d'échéances fiscales,23.00,321697.00,94,Corse,Q,Santé humaine et action sociale,2020-09-03
Reports d'échéances fiscales,10.00,989674.00,94,Corse,R,"Arts, spectacles et activités récréatives",2020-09-03
Reports d'échéances fiscales,9.00,36387.00,94,Corse,S,Autres activités de services,2020-09-03
Reports d'échéances fiscales,8.00,200751.00,94,Corse,Z,Non connu,2020-09-03
Reports d'échéances fiscales,76.00,1870116.00,44,Grand Est,A,"Agriculture, sylviculture et pêche",2020-09-03
Reports d'échéances fiscales,474.00,46870032.00,44,Grand Est,C,Industrie manufacturière,2020-09-03
Reports d'échéances fiscales,3.00,5229.00,44,Grand Est,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-09-03
Reports d'échéances fiscales,18.00,813989.00,44,Grand Est,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-03
Reports d'échéances fiscales,531.00,9894679.00,44,Grand Est,F,Construction,2020-09-03
Reports d'échéances fiscales,1124.00,44559624.00,44,Grand Est,G,Commerce,2020-09-03
Reports d'échéances fiscales,128.00,5024335.00,44,Grand Est,H,Transports et entreposage,2020-09-03
Reports d'échéances fiscales,578.00,6956402.00,44,Grand Est,I,Hébergement et restauration,2020-09-03
Reports d'échéances fiscales,77.00,1238871.00,44,Grand Est,J,Information et communication,2020-09-03
Reports d'échéances fiscales,222.00,6686697.00,44,Grand Est,K,Activités financières et d'assurance,2020-09-03
Reports d'échéances fiscales,450.00,5753604.00,44,Grand Est,L,Activités immobilières,2020-09-03
Reports d'échéances fiscales,396.00,6811828.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques",2020-09-03
Reports d'échéances fiscales,179.00,3410224.00,44,Grand Est,N,Activités de services administratifs et de soutien,2020-09-03
Reports d'échéances fiscales,59.00,955386.00,44,Grand Est,P,Enseignement,2020-09-03
Reports d'échéances fiscales,224.00,6532302.00,44,Grand Est,Q,Santé humaine et action sociale,2020-09-03
Reports d'échéances fiscales,67.00,3920696.00,44,Grand Est,R,"Arts, spectacles et activités récréatives",2020-09-03
Reports d'échéances fiscales,126.00,667607.00,44,Grand Est,S,Autres activités de services,2020-09-03
Reports d'échéances fiscales,48.00,853516.00,44,Grand Est,Z,Non connu,2020-09-03
Reports d'échéances fiscales,9.00,149069.00,01,Guadeloupe,C,Industrie manufacturière,2020-09-03
Reports d'échéances fiscales,4.00,195560.00,01,Guadeloupe,F,Construction,2020-09-03
Reports d'échéances fiscales,26.00,1780239.00,01,Guadeloupe,G,Commerce,2020-09-03
Reports d'échéances fiscales,4.00,25152.00,01,Guadeloupe,I,Hébergement et restauration,2020-09-03
Reports d'échéances fiscales,5.00,80641.00,01,Guadeloupe,J,Information et communication,2020-09-03
Reports d'échéances fiscales,5.00,10056.00,01,Guadeloupe,K,Activités financières et d'assurance,2020-09-03
Reports d'échéances fiscales,6.00,601277.00,01,Guadeloupe,L,Activités immobilières,2020-09-03
Reports d'échéances fiscales,4.00,72587.00,01,Guadeloupe,M,"Activités spécialisées, scientifiques et techniques",2020-09-03
Reports d'échéances fiscales,7.00,116244.00,01,Guadeloupe,N,Activités de services administratifs et de soutien,2020-09-03
Reports d'échéances fiscales,7.00,227632.00,01,Guadeloupe,Q,Santé humaine et action sociale,2020-09-03
Reports d'échéances fiscales,10.00,2779587.00,01,Guadeloupe,Z,Non connu,2020-09-03
Reports d'échéances fiscales,4.00,86162.00,03,Guyane,C,Industrie manufacturière,2020-09-03
Reports d'échéances fiscales,61.00,1681146.00,03,Guyane,G,Commerce,2020-09-03
Reports d'échéances fiscales,6.00,184487.00,03,Guyane,H,Transports et entreposage,2020-09-03
Reports d'échéances fiscales,7.00,57846.00,03,Guyane,I,Hébergement et restauration,2020-09-03
Reports d'échéances fiscales,3.00,68618.00,03,Guyane,K,Activités financières et d'assurance,2020-09-03
Reports d'échéances fiscales,7.00,34490.00,03,Guyane,L,Activités immobilières,2020-09-03
Reports d'échéances fiscales,5.00,221821.00,03,Guyane,M,"Activités spécialisées, scientifiques et techniques",2020-09-03
Reports d'échéances fiscales,7.00,109989.00,03,Guyane,N,Activités de services administratifs et de soutien,2020-09-03
Reports d'échéances fiscales,7.00,1092961.00,03,Guyane,Q,Santé humaine et action sociale,2020-09-03
Reports d'échéances fiscales,13.00,180936.00,03,Guyane,Z,Non connu,2020-09-03
Reports d'échéances fiscales,10.00,344330.00,32,Hauts-de-France,A,"Agriculture, sylviculture et pêche",2020-09-03
Reports d'échéances fiscales,428.00,64717378.00,32,Hauts-de-France,C,Industrie manufacturière,2020-09-03
Reports d'échéances fiscales,32.00,615548.00,32,Hauts-de-France,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-09-03
Reports d'échéances fiscales,18.00,1797298.00,32,Hauts-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-03
Reports d'échéances fiscales,463.00,38235603.00,32,Hauts-de-France,F,Construction,2020-09-03
Reports d'échéances fiscales,1136.00,122743206.00,32,Hauts-de-France,G,Commerce,2020-09-03
Reports d'échéances fiscales,166.00,7061570.00,32,Hauts-de-France,H,Transports et entreposage,2020-09-03
Reports d'échéances fiscales,606.00,5801817.00,32,Hauts-de-France,I,Hébergement et restauration,2020-09-03
Reports d'échéances fiscales,121.00,5967440.00,32,Hauts-de-France,J,Information et communication,2020-09-03
Reports d'échéances fiscales,215.00,4295409.00,32,Hauts-de-France,K,Activités financières et d'assurance,2020-09-03
Reports d'échéances fiscales,344.00,4969882.00,32,Hauts-de-France,L,Activités immobilières,2020-09-03
Reports d'échéances fiscales,446.00,11046059.00,32,Hauts-de-France,M,"Activités spécialisées, scientifiques et techniques",2020-09-03
Reports d'échéances fiscales,190.00,9069426.00,32,Hauts-de-France,N,Activités de services administratifs et de soutien,2020-09-03
Reports d'échéances fiscales,77.00,590720.00,32,Hauts-de-France,P,Enseignement,2020-09-03
Reports d'échéances fiscales,174.00,5087716.00,32,Hauts-de-France,Q,Santé humaine et action sociale,2020-09-03
Reports d'échéances fiscales,62.00,2994670.00,32,Hauts-de-France,R,"Arts, spectacles et activités récréatives",2020-09-03
Reports d'échéances fiscales,198.00,1122722.00,32,Hauts-de-France,S,Autres activités de services,2020-09-03
Reports d'échéances fiscales,32.00,458808.00,32,Hauts-de-France,Z,Non connu,2020-09-03
Reports d'échéances fiscales,514.00,112955331.00,11,Île-de-France,C,Industrie manufacturière,2020-09-03
Reports d'échéances fiscales,58.00,5312748.00,11,Île-de-France,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-09-03
Reports d'échéances fiscales,13.00,396986.00,11,Île-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-03
Reports d'échéances fiscales,837.00,31914738.00,11,Île-de-France,F,Construction,2020-09-03
